participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean
402,M,6,-0.440832265,0.132067929,0.110361144,-0.067703614,0.058346238,0.233799178,0.185341459,0.182493297,2.29e-07,0.181531647,0.021173369,0.011184765,-0.019287618,0.018768462,0.00689807,-0.003917976,-0.049692674,0.025233233,0.024456135,-0.022412537,0.024743503,0.069815874,0.047050999,0.046541889,0.014460451,0.668607027,0.190269433,0.166137676,0.00436841,0.594630456,0.165039329,0.133356388,0.006975974,0.306025909,0.094680923,0.077698216
402,M,7,-0.229825796,0.077884863,0.079318488,-0.049056032,0.064168706,0.227658194,0.192492764,0.190166723,1.85e-07,0.181531647,0.019613638,0.009967084,-0.020178875,0.011977293,0.007471368,-0.005410566,-0.044747737,0.024594972,0.023654821,-0.022091267,0.024930535,0.069815874,0.047026269,0.046597028,0.037753132,0.668607027,0.167403813,0.143965562,0.014071224,0.594630456,0.143384494,0.118176035,0.006549711,0.306025909,0.086399789,0.069701842
402,M,8,-0.427860717,0.234064384,0.107869728,-0.032551949,0.064168706,0.229651649,0.190010514,0.187369018,1.85e-07,0.249681189,0.028304058,0.014073245,-0.02049915,0.009054993,0.007289479,-0.004955458,-0.052937147,0.009743872,0.022056981,-0.020470319,0.022545151,0.069917984,0.045267462,0.044859667,0.027853619,0.504546955,0.186756616,0.165301817,0.0121074,0.403601879,0.159037442,0.138284123,0.006549711,0.333576421,0.097903656,0.0765039
402,M,9,-0.427860717,0.234064384,0.120872907,-0.02528653,0.07282036,0.267485576,0.188887975,0.186342931,2.91e-06,0.249681189,0.02953746,0.016551442,-0.051549407,0.021213488,0.007021483,-0.003402612,-0.079962181,0.027843853,0.022114775,-0.020196262,0.022545151,0.123513145,0.045506959,0.044977756,0.016300195,0.504546955,0.182831838,0.158325481,0.005423587,0.403601879,0.152648203,0.123715629,0.009432443,0.333576421,0.100628063,0.080537826
402,M,10,-0.450483658,0.232599392,0.130340979,-0.031017091,0.071972579,0.267485576,0.189948801,0.187524501,2.91e-06,0.25423234,0.035845269,0.019482264,-0.051549407,0.021213488,0.006623507,-0.002649565,-0.079962181,0.027843853,0.022819538,-0.02086014,0.021140296,0.123513145,0.045372093,0.044826505,0.016300195,0.6605316,0.21985384,0.164402022,0.005423587,0.655213297,0.198365822,0.129784125,0.006062247,0.416203656,0.094798268,0.075173337
402,M,11,-0.450483658,0.223524295,0.124215351,-0.016225025,0.028385095,0.232672359,0.184385968,0.1807314,3.49e-06,0.25423234,0.036920294,0.020782733,-0.040188997,0.014915331,0.006023126,-0.003069215,-0.047566891,0.014286677,0.023095731,-0.020950992,0.021140296,0.075143968,0.045113811,0.04454915,0.02001397,0.6605316,0.219781697,0.165163952,0.006810739,0.655213297,0.193444666,0.121154161,0.006062247,0.416203656,0.104322365,0.084849633
402,M,12,-0.552857431,0.318019435,0.111265442,-0.008582715,0.028385095,0.22505944,0.183049445,0.179183479,3.49e-06,0.213430959,0.027733218,0.017541032,-0.018479282,0.012077967,0.005389243,-0.002153794,-0.047566891,0.013974086,0.023767153,-0.021669027,0.023891753,0.070314172,0.045800565,0.045240216,0.019978356,0.503371664,0.172416197,0.154478779,0.006810739,0.503026307,0.136539489,0.107490123,0.008486257,0.310873304,0.105282064,0.091514672
402,M,13,-0.590644042,0.334529384,0.145096109,-0.017317084,0.052743467,0.236103087,0.181423952,0.178412454,3.33e-06,0.286292865,0.051107247,0.027598626,-0.020399284,0.018550201,0.005310775,-0.002165944,-0.047169525,0.013974086,0.023101193,-0.021349117,0.023891753,0.068598419,0.045708516,0.045241241,0.019978356,0.64769335,0.261673091,0.229374624,0.008091619,0.619628003,0.226662436,0.184985341,0.008084172,0.460995733,0.130755294,0.109014795
402,M,14,-0.590644042,0.334529384,0.150629754,-0.000163285,0.052743467,0.236103087,0.180416576,0.177665234,2.32e-06,0.391938983,0.054507532,0.027913081,-0.020399284,0.018550201,0.006112979,-0.003026165,-0.047983183,0.014469166,0.022718703,-0.02088766,0.025460122,0.068659367,0.04584946,0.04539547,0.027417777,0.64769335,0.267054097,0.232917047,0.008091619,0.619628003,0.231907698,0.190599873,0.008084172,0.460995733,0.132426244,0.110495888
404,H,0,-0.155997296,0.062534402,0.036659494,-0.019959631,0.017608427,0.222246573,0.170717997,0.163341245,1.52e-08,0.18339404,0.022954984,0.009563406,-0.016610706,0.014320069,0.004954552,-0.001680886,-0.044254719,0.021069968,0.020642334,-0.017474442,0.026836864,0.061173974,0.042416452,0.041927469,0.009989845,0.371491093,0.126569552,0.107007444,0.002557937,0.228312948,0.081286292,0.064561483,0.004505674,0.316456297,0.097017474,0.073006769
404,H,1,-0.155997296,0.060281134,0.037970239,-0.022865462,0.022493601,0.226392214,0.1652264,0.156747996,1.52e-08,0.228177785,0.022693962,0.008749162,-0.017461436,0.014320069,0.00497069,-0.002151622,-0.042936492,0.016101684,0.020878237,-0.017492408,0.024753639,0.060959199,0.042579617,0.042012629,0.009838193,0.278795794,0.126418843,0.109249495,0.002320686,0.223186068,0.087073367,0.070781655,0.005992277,0.274745482,0.091651256,0.069752086
404,H,2,-0.078740215,0.073531151,0.023434819,-0.003774943,0.018826379,0.226392214,0.167579864,0.15864776,2.05e-06,0.232898585,0.039476563,0.017372367,-0.017461436,0.011933172,0.004657324,-0.001260825,-0.042936492,0.023008785,0.020110318,-0.016645036,0.024753639,0.060601501,0.042792426,0.042221554,0.009838193,0.278795794,0.118020769,0.102617047,0.002320686,0.223186068,0.080798306,0.064494402,0.00569512,0.274745482,0.086026367,0.067882511
404,H,3,-0.074434675,0.076061828,0.020994742,0.004364981,0.018826379,0.221123671,0.170999312,0.162538077,3.65e-07,0.232898585,0.03337285,0.012964261,-0.014616587,0.012876226,0.005276251,-0.001834587,-0.044472946,0.023421735,0.019216436,-0.016120716,0.023958413,0.063129962,0.042559858,0.042061487,0.010894337,0.235159997,0.095844735,0.08277187,0.002712711,0.169021821,0.063600326,0.050297136,0.005025147,0.209056389,0.071702244,0.058271495
404,H,4,-0.051376715,0.076061828,0.018900811,0.003289817,0.019728113,0.221123671,0.175334758,0.168288473,7.29e-09,0.211254677,0.026558458,0.008876317,-0.014957044,0.012876226,0.005610547,-0.001874497,-0.044472946,0.023421735,0.018524904,-0.015893024,0.023958413,0.063129962,0.040883678,0.040475949,0.010894337,0.235159997,0.081307195,0.068616245,0.003001915,0.166603185,0.051893876,0.040219524,0.005025147,0.209056389,0.062593016,0.050918987
404,H,5,-0.083865881,0.050126286,0.024254153,-0.009000559,0.021866797,0.219540788,0.175056264,0.169473946,8.33e-10,0.211254677,0.032736541,0.013280717,-0.014957044,0.011447352,0.005462312,-0.002070986,-0.040460903,0.019083446,0.020465957,-0.017758912,0.02621907,0.060243788,0.041510416,0.041000667,0.011004056,0.299247399,0.094366171,0.079159007,0.003009984,0.254582901,0.069665057,0.052065761,0.006575188,0.211454091,0.06365339,0.049746469
