participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,blink_aperture_min,blink_aperture_max,blink_aperture_rms,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_metric_min,pupil_metric_max,pupil_metric_rms,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_y_min,center_face_y_max,center_face_y_rms,head_rotation_rad_vel_min,head_rotation_rad_vel_max,head_rotation_rad_vel_rms,head_rotation_rad_acc_min,head_rotation_rad_acc_max,head_rotation_rad_acc_rms,blink_aperture_vel_min,blink_aperture_vel_max,blink_aperture_vel_rms,blink_aperture_acc_min,blink_aperture_acc_max,blink_aperture_acc_rms,mouth_aperture_vel_min,mouth_aperture_vel_max,mouth_aperture_vel_rms,mouth_aperture_acc_min,mouth_aperture_acc_max,mouth_aperture_acc_rms,pupil_dx_vel_min,pupil_dx_vel_max,pupil_dx_vel_rms,pupil_dx_acc_min,pupil_dx_acc_max,pupil_dx_acc_rms,pupil_dy_vel_min,pupil_dy_vel_max,pupil_dy_vel_rms,pupil_dy_acc_min,pupil_dy_acc_max,pupil_dy_acc_rms,pupil_metric_vel_min,pupil_metric_vel_max,pupil_metric_vel_rms,pupil_metric_acc_min,pupil_metric_acc_max,pupil_metric_acc_rms,center_face_magnitude_vel_min,center_face_magnitude_vel_max,center_face_magnitude_vel_rms,center_face_magnitude_acc_min,center_face_magnitude_acc_max,center_face_magnitude_acc_rms,center_face_x_vel_min,center_face_x_vel_max,center_face_x_vel_rms,center_face_x_acc_min,center_face_x_acc_max,center_face_x_acc_rms,center_face_y_vel_min,center_face_y_vel_max,center_face_y_vel_rms,center_face_y_acc_min,center_face_y_acc_max,center_face_y_acc_rms
402,H,10,-2.459164279,2.502799511,1.110422969,-51.1335605,19.71592171,13.5692993,-6.356416532,91.32150385,12.38445418,-37.45761225,34.70700602,11.28459039,-32.01808989,47.30424144,13.87912113,-41.09186151,39.13138919,11.9595684,-14.39142786,24.1245407,9.408041217,-12.03067269,24.97612953,9.276871543,-15.48809801,45.72001931,14.17584971,-3.011960258,2.856376956,0.439501886,-1.516016524,1.142060182,0.214312553,-11.12909938,9.480067648,1.607448931,-4.16185431,4.204743844,0.718285859,-18.7678121,21.10466805,2.269701236,-10.4274205,8.415780891,1.12667943,-12.24973487,10.6057589,2.597242924,-6.817173401,6.749392863,1.513907112,-15.35709933,14.03113687,2.611802463,-9.191081585,7.757416801,1.467521078,-17.18559052,11.78238376,2.481640406,-7.069423136,8.543628656,1.441387142,-1.633160694,2.477690297,0.322929489,-0.526018112,0.932958458,0.081115269,-1.710537407,1.718633766,0.291910483,-0.298064047,1.112208094,0.062446878,-2.598736332,5.903621204,0.689473672,-1.447518376,2.145791375,0.241704698
402,H,11,-2.459164279,2.352545205,1.031149347,-48.90729613,19.71592171,11.4001766,-6.39950652,91.32150385,12.3594545,-37.45761225,40.38101714,11.87509681,-41.15297528,43.5752192,13.23821799,-41.09186151,55.00581973,12.80586736,-14.37106036,24.1245407,9.883636748,-12.18804364,24.97612953,9.52548674,-15.73710679,45.72001931,13.32707868,-2.470907406,2.856376956,0.416614918,-1.516016524,1.137540233,0.198946542,-12.17064369,10.60400892,1.487452054,-4.529572451,4.912960515,0.716359079,-14.91882594,26.71755381,2.153128898,-15.27053315,10.24275557,1.133037904,-11.3357495,13.7867322,2.586997275,-9.304041984,8.870910634,1.536529147,-14.0622018,10.14250827,2.441231169,-6.960568968,6.617659653,1.357571952,-17.18559052,12.30988419,2.457031691,-7.069423136,8.543628656,1.391298926,-1.633160694,2.477690297,0.288232611,-0.526018112,0.932958458,0.071498999,-1.710537407,1.718633766,0.27631491,-0.298064047,1.112208094,0.057703509,-4.086884828,5.903621204,0.614890825,-1.447518376,3.073266092,0.233125388
402,H,12,-2.082508778,2.352545205,0.819956746,-46.89979898,20.76341829,11.73405244,-6.39950652,80.0261198,11.19341098,-42.89839929,40.38101714,11.60502936,-41.15297528,52.94312985,13.31087058,-36.7004921,55.00581973,12.8642779,-14.11220775,20.10356745,8.868457508,-12.18804364,12.50589945,7.623834042,-15.73710679,47.11779445,9.969254675,-2.470907406,2.509650377,0.398971747,-1.401735938,1.201057986,0.191277017,-12.17064369,10.60400892,1.527318833,-4.529572451,4.912960515,0.750226396,-14.91882594,26.71755381,2.05047444,-15.27053315,10.24275557,1.071195612,-13.64352765,13.7867322,2.578794867,-9.304041984,8.870910634,1.54719488,-15.65372552,14.87058047,2.505976618,-9.189354494,6.617659653,1.387961821,-15.27800748,12.73717024,2.561695879,-11.98233064,11.33330414,1.513508369,-1.18728099,2.023342936,0.294500322,-0.577423237,0.516105142,0.074452487,-1.105893595,1.855972881,0.251322902,-0.514183147,0.590625251,0.055281537,-4.086884828,4.178384338,0.597453065,-1.360883629,3.073266092,0.226457411
402,H,13,-1.341807056,2.222640653,0.838416367,-46.89979898,28.71893381,13.54078961,-6.109651049,141.9440589,11.28311932,-133.617289,37.45979979,11.3223796,-82.62067338,52.94312985,13.73285434,-38.90515641,135.5570261,12.97551719,-14.6420616,20.10356745,8.894098515,-11.81283928,11.1648845,8.021149502,-14.60018342,49.7774985,12.50011729,-6.2724319,6.204258836,0.438451934,-4.956483074,2.336275092,0.232643711,-21.60603353,12.54925881,1.754841848,-11.18022958,8.960127914,0.870164007,-34.40802925,21.94689956,2.270358856,-18.61203054,13.65345094,1.140757579,-39.33105975,49.72769235,3.083813995,-19.90230498,31.8465152,1.86470601,-30.62042869,42.9175069,3.078305868,-19.83705824,27.45110277,1.794614038,-55.36359357,48.26597858,3.452104235,-40.51841707,25.25342433,2.180126006,-1.707879164,2.023342936,0.299262024,-0.577423237,0.52648084,0.084075476,-0.892980808,1.855972881,0.224344046,-0.514183147,0.590625251,0.052502966,-3.349973524,3.879170412,0.630710489,-1.360883629,1.566008063,0.226809547
402,H,14,-1.832974289,2.222640653,0.859839725,-45.88386546,31.45463013,11.68391447,-6.502529536,141.9440589,13.19463954,-133.617289,47.99602971,12.29455515,-90.10118881,52.15888653,12.31373101,-38.90515641,135.5570261,13.06151739,-14.6420616,27.76748878,10.80212597,-11.95997093,29.34515389,11.13328607,-15.01201747,49.7774985,11.4761407,-6.2724319,6.204258836,0.462682807,-4.956483074,2.336275092,0.248527318,-21.60603353,17.9398104,1.801232327,-13.08151491,9.98978629,0.962265434,-34.40802925,27.63747673,2.531520399,-18.61203054,13.65345094,1.293980293,-39.33105975,49.72769235,3.298311714,-19.90230498,31.8465152,1.981297523,-31.50682049,42.9175069,3.33917225,-19.83705824,27.45110277,1.973583138,-55.36359357,48.26597858,3.976759516,-40.51841707,25.25342433,2.457602928,-1.707879164,1.80585611,0.280196252,-0.519114458,0.552314153,0.080276097,-1.550150658,1.398720806,0.246372847,-0.311988051,0.561926084,0.052053756,-3.349973524,4.059193025,0.589282551,-1.262291499,1.566008063,0.219521471
402,L,0,-4.453493853,2.984341556,1.003789785,-50.46662136,18.75503677,15.27083811,-8.672147638,91.87180662,15.71080048,-145.3133816,58.53485014,15.17114346,-33.51019485,106.3761872,14.25611183,-39.11060375,142.1728056,13.88694651,-16.84623739,111.0014014,16.78381743,-13.24799831,105.4723055,14.3869504,-14.2905064,67.18303074,19.09469887,-2.962578347,2.175725815,0.44947127,-1.68185038,1.195306258,0.208775265,-12.41971293,15.15179497,1.716502567,-7.116391091,7.029528771,0.823847084,-15.03941474,17.49271477,1.779093974,-9.920139046,7.073725161,0.950371914,-35.84869572,32.54567559,3.211255736,-19.01065917,21.82546333,1.896335401,-18.65849198,30.82763506,2.883963258,-13.69510764,13.73939258,1.579170041,-20.11835856,34.28041903,2.898353172,-20.02212051,18.30460228,1.697384743,-3.285115604,3.511962877,0.562311316,-1.096393975,1.887754131,0.148682037,-3.875362704,3.837995341,0.561840536,-0.9832293,2.504274874,0.1196536,-6.952794767,4.287846559,0.761259302,-1.932894368,3.447898388,0.265957877
402,L,1,-1.052628972,2.984341556,1.020565026,-56.07401972,16.26470141,13.81929045,-8.672147638,123.7601049,18.77896708,-35.21029475,40.35011317,12.36137787,-39.31995435,43.66369131,12.45940499,-42.55733845,46.15385177,11.81306789,-16.84410234,48.01832019,12.15299131,-13.05776014,30.31912211,9.331331539,-14.94689097,65.66335198,17.03385399,-3.557025547,3.263540604,0.475498136,-1.90872345,1.512759152,0.238787339,-9.984962046,9.58689002,1.585155953,-4.516007215,4.942291738,0.760118117,-18.50213733,30.69073198,2.672917675,-10.2154648,11.79188599,1.34311173,-15.46467971,13.4642312,2.765671118,-9.723864963,8.547652722,1.611927087,-11.94025216,12.94893826,2.586392293,-6.991649685,7.065401278,1.436617438,-9.604627633,15.9178915,2.474117296,-7.008006378,6.26380124,1.414860229,-4.929628967,7.770898885,0.487782702,-4.520223852,3.692663479,0.192617158,-4.19372199,6.774265456,0.427777401,-3.544837741,2.289958743,0.142310454,-8.341971519,7.938789428,0.772934845,-5.401324418,7.547803525,0.344079838
402,L,2,-1.490815048,2.789706385,0.934837643,-56.07401972,19.11114698,12.04028007,-8.455023158,123.7601049,17.24056159,-33.92391574,40.35011317,11.39353034,-39.31995435,43.66369131,10.97881993,-42.55733845,46.15385177,10.83755142,-16.84410234,27.63793166,10.28313277,-13.05776014,24.89930817,9.655639572,-14.94689097,34.82286753,11.70600639,-3.557025547,3.263540604,0.4816294,-1.916534552,1.512759152,0.242497499,-9.62887195,9.129388557,1.509454469,-3.543275352,4.942291738,0.713586587,-27.70260247,30.69073198,3.142562663,-11.44923834,13.14141882,1.551245549,-15.46467971,13.4642312,2.766690731,-9.723864963,8.547652722,1.634123958,-13.04416894,12.94893826,2.443211036,-6.991649685,7.065401278,1.358985904,-9.643106975,15.9178915,2.412689495,-8.153551027,6.156980728,1.399950935,-4.929628967,7.770898885,0.510969977,-4.520223852,3.692663479,0.194096889,-4.19372199,6.774265456,0.441531501,-3.544837741,2.289958743,0.141140057,-8.341971519,7.938789428,0.779441351,-5.401324418,7.547803525,0.345349802
402,L,3,-1.490815048,2.388130424,0.807085298,-48.56948793,19.11114698,13.42243465,-8.455023158,104.6235744,16.71735451,-33.92391574,33.38182681,10.80547739,-31.94116058,41.98881224,11.66641806,-37.24512311,33.22646202,11.68697333,-16.31693954,45.18455252,10.70507506,-12.91892142,31.29901383,10.10169047,-14.82868608,55.77215047,12.19321694,-3.200652229,3.133771329,0.439129227,-1.916534552,1.278800374,0.224276228,-12.6852713,10.39795165,1.488098948,-4.18626124,4.600125765,0.701344275,-27.70260247,24.75388377,3.001697326,-14.18943091,13.14141882,1.52163747,-10.90510874,8.933423384,2.526007281,-5.599087681,6.450841052,1.457592614,-13.04416894,10.35414953,2.39841805,-6.558718324,5.8412263,1.335060146,-13.3197602,14.74673672,2.373866718,-9.277460231,6.504760058,1.405539663,-2.808034274,3.9354334,0.463908947,-1.714084342,1.286753219,0.138537503,-2.160628569,2.233467355,0.356945984,-0.686592686,0.650075125,0.075146611,-4.427144461,5.286003665,0.696070629,-3.240847672,3.112916557,0.261195902
402,L,4,-1.044526843,2.388130424,0.716699134,-50.38837192,32.39652039,14.62151573,-8.163606515,102.9895057,11.10503705,-62.68046729,110.2647173,11.38838916,-178.7065948,40.57703762,12.64975638,-41.25674332,229.7612691,13.20446423,-15.98679584,45.18455252,9.083472745,-12.91892142,31.29901383,8.489859304,-14.82868608,55.77215047,13.21313659,-2.914082534,3.133771329,0.403736736,-1.734310337,1.295970628,0.208627953,-19.78605019,14.63846454,1.654135136,-12.48172658,9.101813634,0.823067044,-23.22490184,24.75388377,2.178047146,-14.18943091,9.685589694,1.200016685,-31.20002011,36.20259104,2.709963486,-24.83126862,15.73777644,1.563369975,-62.27826249,68.6067765,3.372837305,-28.21609675,48.31418648,2.011633214,-88.81195353,85.44879246,3.838573894,-65.18571583,38.92521139,2.386449646,-2.808034274,3.9354334,0.456523695,-1.714084342,1.286753219,0.137969659,-2.160628569,2.233467355,0.335698065,-0.686592686,0.685504328,0.07818813,-4.427144461,5.286003665,0.708033481,-3.240847672,3.112916557,0.257548433
