participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean
426,H,0,-0.668212652,0.013926787,0.129213536,-0.096781911,0.012601946,0.200663511,0.153948776,0.147345005,5.42e-06,0.337036585,0.081656437,0.057888069,-0.116410247,0.008045064,0.008272868,-0.004465894,-0.101139859,0.021392646,0.022584773,-0.019603981,0.014512589,0.184775438,0.041592293,0.040493157,0.017663033,0.652634578,0.248953862,0.225795465,0.00363695,0.452758006,0.167112239,0.139985355,0.009022166,0.491108488,0.184530553,0.159871288
426,H,1,-0.668212652,0.021675086,0.104472379,-0.068396066,0.0148605,0.204435476,0.15816402,0.152397242,3.24e-06,0.317702111,0.08007853,0.057310513,-0.116410247,0.009666436,0.007785377,-0.003508824,-0.101139859,0.021392646,0.021288202,-0.018793593,0.014512589,0.184775438,0.040455228,0.039440359,0.010942768,0.652634578,0.229643206,0.189263317,0.00363695,0.46117869,0.165642025,0.130289678,0.005733681,0.64026077,0.159055718,0.111384769
426,H,2,-0.284445178,0.021675086,0.077405091,-0.063072995,0.018400464,0.204435476,0.158880875,0.153712204,3.24e-06,0.317702111,0.093073482,0.066254372,-0.014257458,0.013965191,0.005170827,-0.002500464,-0.043137409,0.016073793,0.020387439,-0.018468009,0.016793805,0.057432542,0.039536679,0.03907816,0.010942768,0.645701348,0.205524967,0.159525457,0.003954897,0.46117869,0.130095203,0.09866776,0.005733681,0.64026077,0.159109239,0.100113126
426,L,0,-0.309170141,-0.023962101,0.141666977,-0.131250917,0.010755324,0.202190347,0.153615917,0.147355048,4.61e-07,0.022626126,0.005282731,0.003745987,-0.020007743,0.008117621,0.006808948,-0.005269254,-0.042924455,0.020944081,0.023447174,-0.020028015,0.018265323,0.056710126,0.04135287,0.040703122,0.01245594,0.625663639,0.253344476,0.206355762,0.003617637,0.514234622,0.136777286,0.111317353,0.007408318,0.593189247,0.213249613,0.155514712
426,L,1,-0.257810941,-0.022692652,0.142903811,-0.134882492,0.010755324,0.19313463,0.156303779,0.150866873,4.61e-07,0.258179706,0.028073233,0.013099363,-0.018086566,0.006356286,0.006600794,-0.004970549,-0.042811768,0.019915497,0.023857798,-0.020730397,0.019012281,0.056710126,0.04170034,0.041109607,0.01245594,0.592933421,0.198244361,0.1614304,0.005290847,0.514234622,0.145953237,0.120459517,0.006910723,0.554951689,0.134158412,0.082065827
426,L,2,-0.677110669,0.063734437,0.152526152,-0.13828381,0.015789271,0.19830788,0.160682204,0.157226363,5.62e-06,0.258179706,0.045142847,0.032376836,-0.073051913,0.014180024,0.007880895,-0.005653745,-0.043193588,0.016943303,0.024836793,-0.022471375,0.019012281,0.107060866,0.043081833,0.042534992,0.015000604,0.942353156,0.185720728,0.146709795,0.005290847,0.393419017,0.13684609,0.111876692,0.006500421,0.884263108,0.12556009,0.071153054
426,M,0,-0.259644125,0.091675608,0.121142168,-0.106752217,0.012327742,0.200330764,0.15148699,0.145648655,9.93e-06,0.429710393,0.121179514,0.084789302,-0.016450019,0.008842867,0.004844352,-0.002158217,-0.041230767,0.019335473,0.021141736,-0.018443109,0.01791344,0.059150926,0.04032373,0.039709426,0.01337088,0.504752381,0.193663499,0.166171075,0.003562758,0.350699897,0.121629332,0.100942829,0.006013236,0.471411135,0.150704534,0.110123335
426,M,1,-0.790483133,0.026640811,0.145737698,-0.10263373,0.016756609,0.201879443,0.154748872,0.15067396,2.75e-06,0.429710393,0.114493996,0.073488508,-0.046332659,0.008842867,0.005800625,-0.002219488,-0.055784908,0.027314317,0.021169906,-0.018820105,0.01791344,0.078615987,0.041917656,0.041421729,0.01337088,0.885662021,0.218179881,0.169274947,0.003562758,0.491133665,0.147328717,0.113805593,0.009358924,0.749638194,0.160924546,0.108605926
426,M,2,-0.790483133,0.026640811,0.151827006,-0.105942316,0.0157779,0.201880178,0.15711313,0.151499296,2.75e-06,0.180870583,0.062145013,0.046064801,-0.046332659,0.009821788,0.005665516,-0.00197257,-0.055784908,0.027314317,0.021959967,-0.01931709,0.01566749,0.078615987,0.04232533,0.041706278,0.014269184,0.885662021,0.23098231,0.184314607,0.003670654,0.491133665,0.138681138,0.103150956,0.007501394,0.749638194,0.184716999,0.136873132
427,H,0,-0.880258574,0.174017968,0.182654541,-0.127800378,0.023825029,0.283839721,0.127824751,0.125221464,8.49e-06,0.211764679,0.040723283,0.022292643,-0.171009616,0.016660248,0.020743502,-0.009602901,-0.302267504,0.031073585,0.034013397,-0.018314138,0.01106979,0.33605782,0.055288596,0.046377883,0.015270333,1.829515553,0.33092907,0.236198401,0.003446498,1.667601563,0.207282499,0.122560178,0.006892241,0.75248401,0.257969019,0.178456694
