participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,head_tx_min,head_tx_max,head_tx_rms,head_tx_mean,head_ty_min,head_ty_max,head_ty_rms,head_ty_mean,head_scalex_min,head_scalex_max,head_scalex_rms,head_scalex_mean,head_scaley_min,head_scaley_max,head_scaley_rms,head_scaley_mean,head_motion_mag_min,head_motion_mag_max,head_motion_mag_rms,head_motion_mag_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean
449,H,2,-0.044789266,0.038746689,0.01399257,0.003049862,-0.003866014,0.042602067,0.02421069,0.023321877,0.142068054,0.216326308,0.194206761,0.193717836,0.880053794,0.936739607,0.914737844,0.914698593,0.884762273,1.065525462,0.965436591,0.964840789,0.171372301,0.261867496,0.219172975,0.218656503,0.001596399,0.019615712,0.014446322,0.013938842,2.36e-09,0.025156405,0.00588031,0.003702303,-0.001256579,0.000891893,0.000384446,-0.000206346,-0.003116335,0.002155408,0.001462323,-0.00112901,0.002959111,0.005682687,0.004431264,0.004395857
449,L,0,-0.036757376,0.077187713,0.017425711,0.005559804,-0.035838729,0.030734445,0.018757454,0.01703337,0.108189163,0.201114125,0.186742803,0.186277065,0.911491166,0.996606952,0.937200656,0.937133778,0.924804949,1.112469104,0.988482556,0.988016491,0.148040259,0.223477621,0.200915437,0.200677344,0.001869182,0.019083769,0.014723802,0.01438656,8.8e-08,0.016290641,0.004334904,0.002505283,-0.001470359,0.000724673,0.000429659,-0.000250082,-0.003081534,0.002177575,0.001634502,-0.00136682,0.002910776,0.005852776,0.00422655,0.004203428
449,L,1,-0.036757376,0.030906654,0.010598724,-0.000296803,-0.001288004,0.029546225,0.017681456,0.017167131,0.138758523,0.202666791,0.186061779,0.185749498,0.910663022,0.970264031,0.936736091,0.936716074,0.90747391,1.079966058,0.983643227,0.983264138,0.162310222,0.222898218,0.199999245,0.199809026,0.002204109,0.017460989,0.014559435,0.014234203,3.49e-07,0.022199335,0.003636465,0.001857112,-0.001470359,0.000844438,0.000376832,-0.000130833,-0.003075695,0.002321418,0.001538651,-0.001323806,0.002953537,0.00536795,0.004135291,0.004114743
449,L,2,-0.031240379,0.030906654,0.010816559,0.002030529,-0.005820227,0.029546225,0.015937019,0.014944299,0.138758523,0.202666791,0.18248916,0.182195775,0.910663022,0.988617967,0.94008945,0.940057476,0.90747391,1.081811232,0.986518208,0.986097374,0.162310222,0.222898218,0.19553243,0.195348755,0.002204109,0.018177216,0.0141977,0.013847501,4.27e-07,0.022698076,0.004933073,0.002780472,-0.001494662,0.000844438,0.000370486,-0.000110013,-0.003128745,0.002321418,0.001691203,-0.001439756,0.002810067,0.00536795,0.004084314,0.00406437
449,M,0,-0.085517182,0.106708028,0.018644988,-0.002036965,-0.024270232,0.036565543,0.01712166,0.015855585,0.154031313,0.233555917,0.207324569,0.206901028,0.895828476,0.959311954,0.926071972,0.926033825,0.914596037,1.075555515,0.973917699,0.97349186,0.174894617,0.253309787,0.224388592,0.224061752,0.001797449,0.018800158,0.014907254,0.014450273,2.7e-06,0.024047245,0.004009421,0.002341547,-0.001391235,0.000649733,0.000557233,-0.000445839,-0.002947983,0.002199114,0.00098122,-0.000614433,0.002919428,0.005487001,0.004190027,0.004155289
449,M,1,-0.085517182,0.02816584,0.015509327,-0.003564734,-0.002752264,0.040640838,0.02336747,0.022005537,0.133053216,0.233555917,0.204696417,0.204185587,0.891412414,0.953829351,0.925235724,0.925207811,0.91021458,1.075555515,0.969168172,0.968813914,0.158622267,0.253309787,0.223049999,0.222674646,0.001797449,0.018605808,0.014908509,0.014589883,1.27e-07,0.024047245,0.005377847,0.003226546,-0.001339129,0.001004992,0.000490508,-0.000337518,-0.00299339,0.002280211,0.001086529,-0.000783101,0.002986932,0.005717748,0.004264221,0.004227209
449,M,2,-0.037579291,0.034405773,0.013459291,0.003589971,-0.009942972,0.044934302,0.029783597,0.0289741,0.125039812,0.221581902,0.192322411,0.191705133,0.884954521,0.953829351,0.919958033,0.91991683,0.895535511,1.074938096,0.967081088,0.966514954,0.156285694,0.246504466,0.215824045,0.2153452,0.002388459,0.019015079,0.014362268,0.01397536,1.27e-07,0.021393235,0.00497358,0.003041409,-0.001339129,0.001111183,0.000366887,-7.14e-05,-0.00299339,0.00258414,0.001441261,-0.001138686,0.00277861,0.005717748,0.004229287,0.004198035
450,H,0,-0.083785206,0.070609053,0.032192715,0.022974008,-0.109689057,-0.022762003,0.051981243,-0.049807029,-0.170517349,-0.04677994,0.089316648,-0.086169025,1.027703628,1.093776339,1.050741077,1.050709883,1.001769931,1.201300568,1.054171461,1.053081418,0.082603062,0.269344925,0.135761526,0.127786599,0.000742134,0.018922683,0.015934082,0.01518105,4.56e-08,0.011394542,0.001470227,0.000717753,-0.001739612,0.000835094,0.000519852,-0.000305293,-0.003386207,0.001828562,0.001747455,-0.001425465,0.00196364,0.006000637,0.003760668,0.003704092
450,H,1,-0.083785206,0.064524014,0.025127357,0.014174529,-0.109689057,-0.032704433,0.056859616,-0.055355488,-0.161626568,-0.041434903,0.088742213,-0.085343989,1.028192999,1.0887034,1.053123455,1.053092406,1.001769931,1.203506075,1.058187373,1.057021109,0.083473104,0.277664368,0.140394783,0.132317711,0.000853845,0.018790865,0.015827511,0.015027514,5.69e-08,0.014383509,0.001901339,0.000924527,-0.001436457,0.000755126,0.000529576,-0.000361033,-0.003269229,0.001828562,0.001639099,-0.001304579,0.001858983,0.005349406,0.003705784,0.003651632
450,H,2,-0.058304402,0.064524014,0.024791415,0.010415496,-0.112448807,-0.034319662,0.060287775,-0.058703805,-0.161626568,-0.041434903,0.091509969,-0.088010106,1.028192999,1.094108462,1.054061704,1.054030396,0.994273706,1.203506075,1.061689386,1.060386117,0.083473104,0.277664368,0.146308206,0.137969634,0.001066645,0.018747578,0.015555581,0.014636915,2.67e-07,0.014383509,0.001674823,0.000871745,-0.001436457,0.000638285,0.000578344,-0.000435437,-0.003141931,0.002002335,0.001464204,-0.001105241,0.001858983,0.00524188,0.00370297,0.003654086
450,L,0,-0.033791799,0.153560109,0.044551788,0.03852663,-0.093514323,0.0365257,0.042456667,-0.039552367,-0.192222823,-0.052784863,0.086387962,-0.082826239,1.008630448,1.083467062,1.03745602,1.037415037,0.979250781,1.18622956,1.028772555,1.027764509,0.075237157,0.27141171,0.116594684,0.108681576,0.001298518,0.01909675,0.015898152,0.01525704,6.12e-07,0.002584314,0.000696929,0.000557871,-0.001511535,0.000870593,0.000595037,-0.00045214,-0.003648727,0.001809863,0.001685701,-0.001404106,0.001871278,0.005520435,0.003811885,0.00376879
450,L,1,-0.032723553,0.06169164,0.034582152,0.032303223,-0.094835354,-0.028013822,0.045031643,-0.044074994,-0.147452447,-0.052973823,0.077498157,-0.075166146,1.022301627,1.084994172,1.040964534,1.040934967,0.984670801,1.167154842,1.022096981,1.02133704,0.072945874,0.235462959,0.108532017,0.102789055,0.00127912,0.01909675,0.015957646,0.015460035,2.54e-07,0.009977788,0.000920581,0.000578527,-0.001509902,0.000717033,0.000627293,-0.000499008,-0.003444191,0.001652738,0.001679394,-0.001462857,0.001871278,0.005747192,0.003810734,0.003766979
450,L,2,-0.058676705,0.06169164,0.032272335,0.02642576,-0.107303144,-0.028013822,0.050950615,-0.049525538,-0.155009993,-0.038876751,0.081163002,-0.077845005,1.025687694,1.084994172,1.044413906,1.044381137,0.988862712,1.210979371,1.037341491,1.036168109,0.072945874,0.269740403,0.122322042,0.11397779,0.001225704,0.019086523,0.015583612,0.014920785,2.54e-07,0.013301523,0.002020293,0.000993375,-0.001509902,0.000717033,0.000657688,-0.000533279,-0.003254726,0.001982988,0.001672276,-0.001406052,0.001908074,0.005747192,0.003834632,0.003788671
