participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,head_tx_min,head_tx_max,head_tx_rms,head_tx_mean,head_ty_min,head_ty_max,head_ty_rms,head_ty_mean,head_scalex_min,head_scalex_max,head_scalex_rms,head_scalex_mean,head_scaley_min,head_scaley_max,head_scaley_rms,head_scaley_mean,head_motion_mag_min,head_motion_mag_max,head_motion_mag_rms,head_motion_mag_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean
402,L,7,-0.379518897,0.006561467,0.1265651,-0.086089344,-0.060844072,0.015064021,0.012108547,-0.005497809,-0.036183251,0.100771506,0.032163942,0.011971468,0.950883646,1.134207637,1.042138643,1.041784086,0.973795436,1.145854792,1.014292456,1.013795367,0.015538619,0.176574263,0.06974503,0.064377705,0.004273666,0.019989193,0.015995818,0.015891547,2.48e-06,0.010468141,0.00135747,0.001126046,-0.001557708,0.000779852,0.000583842,-0.00043151,-0.003636057,0.001319872,0.002230936,-0.002127653,0.001997433,0.00560041,0.004272647,0.004236535
402,L,8,-0.379518897,0.006561467,0.162595336,-0.131194092,-0.060844072,0.015064021,0.012554753,-0.007078743,-0.036183251,0.100771506,0.042841053,0.028333122,0.950883646,1.13237622,1.034802039,1.034458548,0.961711959,1.145854792,1.020572006,1.020032791,0.015538619,0.176574263,0.073435532,0.068820596,0.004475895,0.020208462,0.016474764,0.016388569,2.48e-06,0.010468141,0.001334618,0.00107201,-0.001557708,0.000637926,0.000582742,-0.000448435,-0.006513757,0.001319872,0.001994811,-0.00184557,0.001801105,0.007052852,0.003975,0.003920932
402,L,9,-0.328036818,0.283726785,0.178034359,-0.108720877,-0.049740093,0.101376497,0.027507777,0.002620448,-0.141498637,0.094428922,0.055036155,0.020051402,0.956204647,1.184985706,1.029326444,1.029102877,0.942955414,1.14633525,1.0298217,1.029371356,0.017382556,0.223261479,0.082962963,0.077625941,0.003314761,0.020732784,0.016349339,0.01616199,8.7e-07,0.028993622,0.002804932,0.001623837,-0.003060709,0.001444403,0.000652789,-0.000396908,-0.006513757,0.003717859,0.0018672,-0.001666962,0.001674031,0.00842785,0.003797646,0.00373812
402,L,10,-0.328036818,0.283726785,0.135630299,-0.022375124,-0.058451304,0.101376497,0.029603522,0.006755022,-0.141498637,0.094428922,0.051296831,-0.010946583,0.956204647,1.184985706,1.034743414,1.034465904,0.942955414,1.14633525,1.027409313,1.026920212,0.015340938,0.223261479,0.083662,0.075888289,0.003314761,0.020732784,0.015919851,0.01565611,8.7e-07,0.028993622,0.003010771,0.001872846,-0.003060709,0.001444403,0.000665196,-0.000343948,-0.005947165,0.003717859,0.002340884,-0.002129867,0.001674031,0.00842785,0.004251236,0.004179447
402,L,11,-0.198209232,0.143815316,0.066345774,-0.029261237,-0.058451304,0.039558637,0.016848819,-0.006982169,-0.102388391,0.061597082,0.028007137,-0.005783427,0.993624774,1.141218572,1.048948344,1.048717664,0.971243417,1.126258631,1.013180912,1.012930008,0.013217433,0.173529047,0.067831602,0.063370238,0.004147044,0.020436307,0.016273229,0.016115319,2.4e-06,0.009928545,0.001670924,0.001298722,-0.001921383,0.000729082,0.000573455,-0.000396433,-0.004407818,0.001460707,0.002594266,-0.002465312,0.002108646,0.006230228,0.004581481,0.00453922
402,L,12,-0.111023797,0.159612492,0.072823449,-0.009784581,-0.05665809,0.06145899,0.022412691,0.000712545,-0.11682031,0.030623779,0.034693396,-0.014563235,0.975862801,1.141218572,1.052860016,1.052571513,0.971243417,1.120447568,1.010640069,1.010451177,0.013217433,0.173769468,0.074619983,0.071761311,0.004147044,0.01949827,0.016394478,0.01629245,1.29e-06,0.005983617,0.001342819,0.00112845,-0.001626378,0.000965895,0.000581147,-0.00041806,-0.004105102,0.001460707,0.002357427,-0.002233784,0.002548523,0.005812199,0.00446142,0.004427263
402,L,13,-0.198578601,0.159612492,0.081028712,0.010925577,-0.055325647,0.06145899,0.027797,0.007568509,-0.11682031,0.054262231,0.041721932,-0.022454981,0.975862801,1.143723378,1.047363738,1.046946513,0.956838264,1.13267332,1.016899389,1.016542961,0.02699892,0.197993706,0.081176431,0.077739134,0.003658054,0.019775701,0.016111068,0.015884244,4.36e-07,0.007219698,0.001427417,0.001114247,-0.001863018,0.001153733,0.000668549,-0.000443197,-0.006254618,0.001136696,0.002089029,-0.001932678,0.002149847,0.008526479,0.004192325,0.004150654
402,L,14,-0.290480206,0.264955036,0.115742215,-0.026636898,-0.075982196,0.097443517,0.03015927,0.004122283,-0.13486293,0.085036487,0.04495715,-0.006481542,0.973669071,1.144561618,1.042178856,1.041837845,0.956838264,1.134278198,1.028272302,1.027755207,0.02785476,0.197993706,0.085001866,0.079975348,0.002670846,0.019775701,0.015698141,0.015400334,4.36e-07,0.024472696,0.003514657,0.001856248,-0.001863018,0.001401738,0.000648434,-0.000359044,-0.006254618,0.001793204,0.001978649,-0.001773904,0.001309072,0.008526479,0.004003178,0.003952403
402,M,0,-0.277506153,0.348473847,0.121360603,0.008014332,-0.046908951,0.154712123,0.064472695,0.046882344,-0.167263946,0.0775238,0.052190752,-0.019534494,0.981224138,1.193930592,1.056212347,1.055720225,0.986801268,1.22622586,1.065845225,1.06521755,0.0419104,0.267621766,0.12890158,0.121355105,0.004015259,0.020068644,0.015985675,0.015749175,7.13e-09,0.021473808,0.003816616,0.001899468,-0.003370581,0.001954138,0.00061901,-0.000127825,-0.004276097,0.002531306,0.002077377,-0.001879125,0.001989926,0.005897424,0.004040506,0.00399247
402,M,1,-0.221516642,0.348473847,0.124317215,0.009118458,-0.072441886,0.153802926,0.062830378,0.039856316,-0.167263946,0.071286804,0.053984963,-0.017705223,0.978014603,1.178666502,1.058826316,1.058306517,0.995085628,1.224672414,1.065153288,1.064445643,0.050655549,0.298667165,0.130469959,0.122378258,0.00591801,0.019727433,0.016247266,0.016124403,7.13e-09,0.021473808,0.004355496,0.002158201,-0.001878491,0.001954138,0.000604273,-0.000101478,-0.004225441,0.004197932,0.002139868,-0.001971831,0.002146512,0.005897424,0.004077355,0.004029987
402,M,2,-0.221516642,0.299778669,0.090396523,-0.005144946,-0.072441886,0.133280502,0.034435041,0.013734922,-0.141843147,0.071286804,0.039416571,-0.011617018,0.978014603,1.178666502,1.070346898,1.070109099,1.001233766,1.224672414,1.04840667,1.047716284,0.044466355,0.298667165,0.109030723,0.100729574,0.003787949,0.019727433,0.016330818,0.016235694,9.99e-09,0.020650988,0.002955213,0.001141516,-0.001537856,0.001678913,0.00051679,-0.00012277,-0.004225441,0.004197932,0.002015273,-0.00188237,0.002146512,0.005723173,0.0039531,0.003911664
402,M,3,-0.096653435,0.073269304,0.032598356,0.017932134,-0.032110418,0.036501285,0.017972394,0.015539871,-0.059669676,0.023561838,0.024116236,-0.021570993,1.023381487,1.175502948,1.072892111,1.072741869,1.001233766,1.143891849,1.030851939,1.030660359,0.044466355,0.21553034,0.088619096,0.086161455,0.003787949,0.018481782,0.016635286,0.016548902,9.99e-09,0.003341097,0.000820064,0.000604447,-0.001661081,0.000932319,0.000435936,-8.99e-05,-0.003783175,0.000661557,0.001682465,-0.001596253,0.002622284,0.005723173,0.003757361,0.003730378
402,M,4,-0.135040511,0.192736575,0.046764395,0.022123401,-0.045203943,0.090175311,0.019055318,0.014386107,-0.090911095,0.037434782,0.026782637,-0.020801816,0.996707087,1.175502948,1.085675738,1.085530015,1.00637426,1.149595803,1.038969745,1.038704566,0.064860376,0.21553034,0.103736164,0.101131182,0.006417522,0.019225191,0.016710869,0.016610528,4.06e-07,0.004087036,0.001220525,0.000984045,-0.001661081,0.001147618,0.000474576,-0.000138175,-0.003759619,0.001392918,0.001805896,-0.001692251,0.002364404,0.005540695,0.003940609,0.003908429
402,M,5,-0.265872972,0.192736575,0.059845346,0.003153557,-0.045203943,0.090175311,0.022848578,0.011247585,-0.090911095,0.071100349,0.028430271,-0.014007295,0.996707087,1.170254347,1.084668054,1.084484031,0.994428245,1.207108192,1.048478454,1.048006702,0.056880071,0.225235764,0.110275698,0.106967032,0.005615927,0.019952309,0.016236307,0.016040276,2.07e-08,0.006455877,0.001369843,0.001059385,-0.001755139,0.001531183,0.000519802,-0.000201555,-0.004202767,0.00248028,0.002062125,-0.001905403,0.002166857,0.005965241,0.004098225,0.004061304
402,M,6,-0.265872972,0.098299767,0.055215234,-0.026571059,-0.068728419,0.051683857,0.019595716,-0.000303521,-0.070158194,0.071100349,0.022477179,-0.004863977,0.881455662,1.170254347,1.07591521,1.075730813,0.987932098,1.207108192,1.041843661,1.041256886,0.03738016,0.225235764,0.099727469,0.09538697,0.005615927,0.019973204,0.015903454,0.015676798,2.07e-08,0.01578019,0.00183464,0.000964369,-0.001755139,0.001531183,0.000637048,-0.00039641,-0.004202767,0.00248028,0.002075021,-0.001902853,0.002166857,0.006158614,0.004132824,0.004088248
