participant,condition,window_index,window_start_s,window_end_s,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,avg_pupil_magnitude_mean_abs_vel,avg_pupil_magnitude_mean_abs_acc,avg_pupil_magnitude_rms,avg_pupil_x_mean_abs_vel,avg_pupil_x_mean_abs_acc,avg_pupil_x_rms,avg_pupil_y_mean_abs_vel,avg_pupil_y_mean_abs_acc,avg_pupil_y_rms,blink_dist_mean_abs_vel,blink_dist_mean_abs_acc,blink_dist_rms,head_rotation_angle_mean_abs_vel,head_rotation_angle_mean_abs_acc,head_rotation_angle_rms,mouth_dist_mean_abs_vel,mouth_dist_mean_abs_acc,mouth_dist_rms,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
412,L,9,270,329.9833333,1.683331847,75.72908244,0.086150804,0.128545665,2.589185246,0.084218731,0.124893528,2.600143328,0.088157484,0.156340853,4.331375252,0.063122206,0.384746767,13.7067196,0.073699229,0.207994749,7.79255667,0.060484161,0.470054212,17.26402174,0.08602442,0.493579953,19.1901688,0.056393089,0.570099895,21.53202046,0.087037308
412,L,10,300,359.9833333,1.744288058,77.48146313,0.088270311,0.152981579,2.739591265,0.085974854,0.14705704,2.830408321,0.085422202,0.188326762,4.765400906,0.076320207,0.422487402,14.74051226,0.072244158,0.246947918,9.176653263,0.068835457,0.657453346,23.03652641,0.111972032,0.551091928,21.10854471,0.068739727,0.595173936,22.1933725,0.085872684
412,L,11,330,389.9833333,1.735346285,77.82830992,0.083553648,0.145003883,2.612323476,0.096193623,0.138734808,2.659658478,0.095083681,0.188078851,4.63095913,0.076302909,0.407540172,13.97936323,0.073908417,0.227031528,8.373477806,0.075418262,0.594500335,21.36929806,0.1022094,0.580827597,22.32881831,0.096233913,0.585430119,21.69958621,0.083157433
412,L,12,360,419.9833333,1.715566078,77.72670958,0.084551665,0.110824167,2.330612695,0.080627072,0.108740266,2.354992097,0.082328631,0.156705837,4.33563318,0.071932498,0.368291803,13.05470862,0.061678603,0.208090559,8.014264358,0.077122741,0.624138025,22.63530754,0.09221858,0.537426246,20.79036297,0.077430224,0.535867942,20.22319718,0.077136723
412,L,13,390,449.9833333,1.747909564,79.48927456,0.091797914,0.109795273,2.455981581,0.090039667,0.109470291,2.527896427,0.096703173,0.15366536,4.23480632,0.083812817,0.400580725,14.04051523,0.099389524,0.211593897,8.213391255,0.078100573,0.572763968,20.86483147,0.106518036,0.519202979,20.08068515,0.07960881,0.546937138,20.58698108,0.082343146
412,L,14,420,479.9833333,1.778790986,80.49836618,0.092723852,0.135277363,2.715250583,0.155548677,0.132174721,2.833331986,0.15849196,0.171538258,4.491412362,0.098325091,0.455063094,16.10577491,0.128892451,0.221473136,8.279442786,0.088324105,0.37036982,14.48741651,0.090277318,0.564178811,21.33768707,0.096316893,0.614494758,23.14323949,0.096144165
473,M,0,0,59.98333333,2.559587389,115.8441351,0.11771186,0.196386974,3.635843007,0.141704761,0.171568368,3.50065484,0.132070911,0.35444186,8.00052928,0.18768084,0.531605737,18.91918218,0.128276401,0.737424383,28.08347676,0.137416237,0.456121542,17.36041306,0.094450096,0.847072087,33.29774555,0.139140304,0.937642624,33.95092767,0.152835412
473,M,1,30,89.98333333,2.421468311,108.9372581,0.112101121,0.155191775,3.155411868,0.12925581,0.137179659,3.068237921,0.11845106,0.275829883,6.760422692,0.134225854,0.451096159,16.73791936,0.102108223,0.679505892,26.74510774,0.104271892,0.361092001,14.68230508,0.062007922,0.756620568,30.24733368,0.135163416,0.843612105,31.24443245,0.126241506
473,M,2,60,119.9833333,2.361661704,105.2687486,0.10652773,0.125973749,2.951083511,0.078296512,0.114614023,2.811302368,0.073426058,0.226612097,6.407966578,0.087241575,0.399182562,15.67579492,0.065835909,0.725603142,28.28685194,0.108942585,0.511692114,18.33101168,0.108870983,0.761207698,30.5601923,0.102289088,0.763570371,29.5789967,0.105558333
473,M,3,90,149.9833333,2.321527157,102.9989712,0.105035387,0.116751581,2.914791672,0.078824403,0.108249266,2.73659523,0.073599644,0.207283924,6.125666812,0.088552836,0.394615224,15.47333853,0.058313974,0.722542713,27.49384686,0.121776934,0.505332411,17.98424918,0.109200744,0.77011379,30.57357942,0.11560369,0.763245198,30.03366939,0.107674733
