participant,condition,window_index,window_start_s,window_end_s,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,avg_pupil_magnitude_mean_abs_vel,avg_pupil_magnitude_mean_abs_acc,avg_pupil_magnitude_rms,avg_pupil_x_mean_abs_vel,avg_pupil_x_mean_abs_acc,avg_pupil_x_rms,avg_pupil_y_mean_abs_vel,avg_pupil_y_mean_abs_acc,avg_pupil_y_rms,blink_dist_mean_abs_vel,blink_dist_mean_abs_acc,blink_dist_rms,head_rotation_angle_mean_abs_vel,head_rotation_angle_mean_abs_acc,head_rotation_angle_rms,mouth_dist_mean_abs_vel,mouth_dist_mean_abs_acc,mouth_dist_rms,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
451,L,1,30,89.98333333,2.372888348,106.5544144,0.108528321,0.166170102,4.444729809,0.104659543,0.157737268,4.439183837,0.094653404,0.19887335,5.198960033,0.097488478,0.379633396,14.55399981,0.069770014,0.652791384,25.72320783,0.119139232,0.602211235,24.69167879,0.115198257,0.798212924,31.96219023,0.109163292,0.66249805,25.2437482,0.09683925
451,L,2,60,119.9833333,2.507357419,112.8005587,0.111368741,0.182707133,4.664853213,0.107345647,0.171240019,4.646464862,0.092464852,0.207944625,5.491482156,0.128097289,0.380293723,14.57032411,0.095501988,0.602151492,23.59066928,0.110804717,0.491154214,22.03952331,0.024122193,0.814264076,32.42223576,0.083920465,0.688297992,26.17094306,0.098540063
414,L,0,0,59.98333333,1.502979462,67.90868507,0.08315105,0.438654065,12.76534145,0.14922193,0.367580196,11.25379702,0.159631369,0.338476407,10.45875832,0.16431892,0.705196362,26.14553421,0.166150727,0.921470615,37.21052548,0.105306869,0.599045387,26.15704227,0.035455663,1.162824706,46.38067166,0.113182493,0.739105488,25.39760869,0.184244885
414,L,1,30,89.98333333,1.409578745,62.34570308,0.075440075,0.388945845,11.81342134,0.168429786,0.36055492,11.01753116,0.153253588,0.262794624,8.524465497,0.132918369,0.609109671,22.79994082,0.137405755,0.882825035,35.75904079,0.109580688,0.721465732,30.55394385,0.064836616,1.113306837,45.16367024,0.128801974,0.685732771,25.33711471,0.134057444
414,L,2,60,119.9833333,1.492297793,66.5977693,0.081039142,0.408566008,12.07616389,0.194766462,0.379544002,11.48470075,0.188767597,0.285887819,8.968461747,0.119374697,0.641100585,23.53787819,0.147518072,0.927862349,37.12266866,0.127499964,0.748375913,30.33219636,0.082417236,1.206993249,48.00356139,0.145013903,0.77392658,28.97376454,0.143561675
429,L,0,0,59.98333333,1.954263981,86.20706124,0.09686873,0.245580926,5.748980682,0.137445967,0.221649934,5.748258606,0.119940198,0.201777766,4.407294477,0.137016102,0.552019017,19.66420453,0.114620295,0.577404227,22.86231245,0.106767862,0.605841275,19.41529495,0.138221541,0.711496684,27.87022743,0.102471947,0.757286159,27.26709876,0.130354566
429,L,1,30,89.98333333,2.11759015,94.44071803,0.103746155,0.27460542,5.889728743,0.172647057,0.242182788,5.961116502,0.161171973,0.230840837,4.796480314,0.157584174,0.548971386,20.27712907,0.09193471,0.603233727,24.01414937,0.094341799,0.74955264,22.59956897,0.172145073,0.812290882,31.57595526,0.102640582,0.783689983,29.41169838,0.109015546
429,L,2,60,119.9833333,2.227852702,99.98722291,0.105481818,0.307651706,5.981444874,0.145021715,0.262732811,6.04541931,0.132283703,0.293475353,5.369678749,0.191087956,0.593023593,20.5196524,0.105420141,0.647343516,25.86514693,0.095839995,0.630349556,20.46188061,0.174353767,0.914858279,35.01352403,0.142469074,0.802664426,29.50893829,0.120549322
448,M,0,0,59.98333333,2.15601731,95.73228214,0.103139471,0.172360887,3.840410853,0.144404157,0.175199541,4.08703519,0.145048341,0.160820265,4.243160037,0.161861262,0.572871341,20.94790788,0.142846264,0.564203058,22.18995685,0.159493637,0.835874286,32.58694892,0.170749118,0.62703426,24.99102138,0.210416865,0.525847944,20.30940929,0.086352257
448,M,1,30,89.98333333,2.075076724,92.23344842,0.096619739,0.19602903,3.794057292,0.169997784,0.201444232,3.983663283,0.180938058,0.144956169,3.917575761,0.155167959,0.498993955,18.51666855,0.128799762,0.51155002,20.28210771,0.211214043,0.823341625,32.00475483,0.164722401,0.605430935,23.77199397,0.15746014,0.477063153,18.49961151,0.073186132
