participant,condition,window_index,track_point_accuracy_baseline_min,track_point_accuracy_baseline_max,resman_point_accuracy_baseline_min,resman_point_accuracy_baseline_max,sysmon_point_accuracy_baseline_min,sysmon_point_accuracy_baseline_max,comms_point_accuracy_baseline_min,comms_point_accuracy_baseline_max,mean_sysmon_response_time_baseline_min,mean_sysmon_response_time_baseline_max,mean_comms_response_time_baseline_min,mean_comms_response_time_baseline_max,track_point_accuracy_baseline_range,resman_point_accuracy_baseline_range,sysmon_point_accuracy_baseline_range,comms_point_accuracy_baseline_range,mean_sysmon_response_time_baseline_range,mean_comms_response_time_baseline_range
447,L,7,0.184341342170671,1.0,0.9833333333333332,1.0,0.0,0.5714285714285714,0.0,1.0,2600.0,8800.0,0.0,5.161949000000007,0.815658657829329,0.01666666666666683,0.5714285714285714,1.0,6200.0,5.161949000000007
447,L,8,0.184341342170671,1.0,0.9833333333333332,1.0,0.0,0.5714285714285714,0.0,1.0,2600.0,8800.0,0.0,5.161949000000007,0.815658657829329,0.01666666666666683,0.5714285714285714,1.0,6200.0,5.161949000000007
447,L,9,0.184341342170671,1.0,0.9833333333333332,1.0,0.0,0.5714285714285714,0.0,1.0,2600.0,8800.0,0.0,5.161949000000007,0.815658657829329,0.01666666666666683,0.5714285714285714,1.0,6200.0,5.161949000000007
447,L,10,0.184341342170671,1.0,0.9833333333333332,1.0,0.0,0.5714285714285714,0.0,1.0,2600.0,8800.0,0.0,5.161949000000007,0.815658657829329,0.01666666666666683,0.5714285714285714,1.0,6200.0,5.161949000000007
447,L,11,0.184341342170671,1.0,0.9833333333333332,1.0,0.0,0.5714285714285714,0.0,1.0,2600.0,8800.0,0.0,5.161949000000007,0.815658657829329,0.01666666666666683,0.5714285714285714,1.0,6200.0,5.161949000000007
447,L,12,0.184341342170671,1.0,0.9833333333333332,1.0,0.0,0.5714285714285714,0.0,1.0,2600.0,8800.0,0.0,5.161949000000007,0.815658657829329,0.01666666666666683,0.5714285714285714,1.0,6200.0,5.161949000000007
447,L,13,0.184341342170671,1.0,0.9833333333333332,1.0,0.0,0.5714285714285714,0.0,1.0,2600.0,8800.0,0.0,5.161949000000007,0.815658657829329,0.01666666666666683,0.5714285714285714,1.0,6200.0,5.161949000000007
447,L,14,0.184341342170671,1.0,0.9833333333333332,1.0,0.0,0.5714285714285714,0.0,1.0,2600.0,8800.0,0.0,5.161949000000007,0.815658657829329,0.01666666666666683,0.5714285714285714,1.0,6200.0,5.161949000000007
439,M,0,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,1,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
