file,keypoint,bad_windows,total_windows,pct_bad
471_H.csv,40,0,4,0.0
471_H.csv,41,0,4,0.0
471_H.csv,43,0,4,0.0
471_H.csv,44,0,4,0.0
471_H.csv,45,0,4,0.0
471_H.csv,46,0,4,0.0
471_H.csv,47,0,4,0.0
471_H.csv,62,0,4,0.0
471_H.csv,66,0,4,0.0
471_H.csv,68,0,4,0.0
471_H.csv,69,0,4,0.0
429_M.csv,27,0,4,0.0
429_M.csv,28,0,4,0.0
429_M.csv,29,0,4,0.0
429_M.csv,30,0,4,0.0
429_M.csv,31,0,4,0.0
429_M.csv,32,0,4,0.0
429_M.csv,33,0,4,0.0
429_M.csv,34,0,4,0.0
429_M.csv,35,0,4,0.0
429_M.csv,36,0,4,0.0
429_M.csv,37,0,4,0.0
429_M.csv,38,0,4,0.0
429_M.csv,40,0,4,0.0
429_M.csv,41,0,4,0.0
429_M.csv,43,0,4,0.0
429_M.csv,44,0,4,0.0
429_M.csv,45,0,4,0.0
429_M.csv,46,0,4,0.0
429_M.csv,47,0,4,0.0
429_M.csv,62,0,4,0.0
429_M.csv,66,0,4,0.0
429_M.csv,68,0,4,0.0
429_M.csv,69,0,4,0.0
451_M.csv,27,0,4,0.0
451_M.csv,28,0,4,0.0
451_M.csv,29,0,4,0.0
451_M.csv,30,0,4,0.0
451_M.csv,31,0,4,0.0
451_M.csv,32,0,4,0.0
451_M.csv,33,0,4,0.0
451_M.csv,34,0,4,0.0
451_M.csv,35,0,4,0.0
451_M.csv,36,0,4,0.0
451_M.csv,37,0,4,0.0
451_M.csv,38,0,4,0.0
451_M.csv,40,0,4,0.0
451_M.csv,41,0,4,0.0
451_M.csv,43,0,4,0.0
451_M.csv,44,0,4,0.0
451_M.csv,45,0,4,0.0
451_M.csv,46,0,4,0.0
451_M.csv,47,0,4,0.0
451_M.csv,62,0,4,0.0
451_M.csv,66,0,4,0.0
451_M.csv,68,0,4,0.0
451_M.csv,69,0,4,0.0
414_M.csv,27,0,4,0.0
414_M.csv,28,0,4,0.0
414_M.csv,29,0,4,0.0
414_M.csv,30,0,4,0.0
414_M.csv,31,0,4,0.0
414_M.csv,32,0,4,0.0
414_M.csv,33,0,4,0.0
414_M.csv,34,0,4,0.0
414_M.csv,35,0,4,0.0
414_M.csv,36,0,4,0.0
414_M.csv,37,0,4,0.0
414_M.csv,38,0,4,0.0
414_M.csv,40,0,4,0.0
414_M.csv,41,0,4,0.0
414_M.csv,43,0,4,0.0
