participant,condition,mental_demand,physical_demand,time_pressure,performance,effort,frustration
462,L,7.312404,7.529417,7.580054,2.624904,8.426408,5.988619
421,H,8.260031,7.080922,7.522184,3.543596,7.587288,7.182195
431,M,8.093654,5.0,5.692033,6.212867,7.073688,3.87635
470,L,4.686535,2.878086,5.373746,6.126061,4.346547,5.988619
429,H,8.021316,2.075135,7.131559,7.131559,7.160494,3.355517
476,L,2.899788,2.060667,8.759163,3.869117,10.0,6.400945
470,H,7.565586,1.858121,5.619695,6.726466,5.265239,6.039255
428,M,7.507716,6.198399,5.243538,6.234568,8.614487,4.795042
434,L,6.16223,6.068191,6.053723,4.744406,6.675829,5.85841
464,H,9.301698,7.970679,8.77363,5.0,2.472994,5.0
427,L,4.845679,5.43885,4.990355,4.59973,4.896316,5.352045
410,H,8.223862,5.0,8.274498,7.847704,7.276235,4.281443
469,H,6.017554,3.984857,5.909047,6.31414,5.74267,6.249035
472,L,7.854938,5.909047,2.73341,9.236593,7.312404,2.429591
417,M,8.158758,6.94348,5.641397,0.367959,7.391975,4.245274
402,M,8.375772,7.261767,8.600019,4.404417,7.037519,7.261767
473,M,9.757427,3.76061,9.822531,3.630401,10.0,9.699556
430,H,7.970679,3.362751,3.934221,7.276235,6.863908,5.641397
448,M,10.0,0.642843,10.0,1.633873,10.0,1.293885
410,L,5.786073,3.579765,4.440586,3.427855,4.975887,6.675829
410,M,6.176698,3.152971,4.983121,3.377218,6.234568,6.979649
450,M,10.0,5.612461,4.701003,5.0,10.0,5.359279
408,L,6.386478,1.47473,5.0,3.898052,5.583526,0.259452
466,M,9.113619,1.011767,9.099151,6.01032,7.09539,6.003086
475,M,8.549383,5.518422,5.250772,4.59973,9.005112,5.012056
424,L,6.690297,5.981385,5.793306,3.796779,5.612461,5.764371
407,M,9.193191,8.795332,8.44811,8.860436,9.323399,5.829475
408,M,6.531154,2.378954,5.511188,3.218075,6.632427,0.339024
449,M,8.976177,8.151524,5.409915,7.645158,9.099151,0.339024
426,L,8.585552,5.930748,6.531154,4.614198,7.261767,6.024788
421,M,8.043017,4.021026,6.516686,3.507427,8.180459,7.608989
445,H,7.36304,7.290702,5.822242,5.409915,5.728202,3.941454
465,L,3.586998,3.420621,4.230806,6.060957,3.521894,2.935957
455,H,9.019579,6.140529,9.605517,3.767843,8.08642,6.487751
440,L,5.0,3.883584,4.534626,1.576003,4.071663,3.261478
422,L,5.402681,7.717496,5.612461,6.37201,5.583526,7.355806
463,L,9.641686,5.851177,2.61767,3.919753,9.222126,6.118827
425,L,6.813272,8.122589,5.366512,3.543596,4.158468,2.52363
465,M,6.292438,3.905285,3.073399,3.738908,6.234568,4.701003
