participant,condition,window_start,window_end,track_point_accuracy,resman_point_accuracy,sysmon_point_accuracy,comms_point_accuracy,mean_sysmon_response_time,mean_comms_response_time,window_index
420,H,0,60,0.8670055061414654,0.9666666666666668,0.8571428571428571,1.0,1766.6666666666667,2.3132895,0
420,H,30,90,0.934260429835651,0.9833333333333332,1.0,0.0,2400.0,3.540940000000006,1
420,H,60,120,0.9127318718381112,1.0,0.75,1.0,3342.8571428571427,3.153797500000003,2
459,H,0,60,0.9636824324324323,0.8333333333333334,0.5,0.0,3600.0,0.0,0
459,H,30,90,0.9438818565400844,0.75,1.0,1.0,1266.6666666666667,2.8460203333333354,1
459,H,60,120,0.9173344580345846,0.9166666666666666,1.0,1.0,1266.6666666666667,2.7343355000000003,2
444,H,0,60,0.9215769393810936,0.9666666666666668,0.8571428571428571,0.6666666666666666,5333.333333333333,3.5985305000000025,0
444,H,30,90,0.8893581081081081,0.8833333333333333,0.875,0.6666666666666666,4028.571428571429,2.5645425000000053,1
444,H,60,120,0.8588931136459653,0.85,0.5,0.0,2440.0,2.3925700000000063,2
465,L,0,60,1.0,0.5666666666666667,1.0,1.0,7000.0,5.771256000000001,0
465,L,30,90,1.0,0.5166666666666667,1.0,0.0,1200.0,0.0,1
465,L,60,120,1.0,0.95,1.0,1.0,1266.6666666666667,4.970994000000005,2
438,M,0,60,1.0,1.0,1.0,0.5,4333.333333333333,3.179684999999999,0
438,M,30,90,1.0,0.9666666666666668,0.4285714285714285,1.0,3650.0,2.855160000000005,1
438,M,60,120,0.917860151642797,0.7166666666666667,0.5,1.0,5120.0,2.748406000000003,2
413,M,0,60,0.868610054921842,0.4666666666666667,0.3333333333333333,1.0,3700.0,4.5112229999999975,0
413,M,30,90,0.8870696893366918,0.0,1.0,0.0,1200.0,0.0,1
413,M,60,120,0.83150800336984,0.0,1.0,1.0,2666.6666666666665,4.0988630000000015,2
402,H,0,60,0.9633220910623946,0.3333333333333333,1.0,0.6666666666666666,2850.0,3.5558739999999993,0
402,H,30,90,0.9316848281642915,0.0,1.0,0.6666666666666666,2000.0,3.4313389999999977,1
402,H,60,120,0.9077568134171908,0.3166666666666666,0.5,1.0,2133.3333333333335,3.5222069999999945,2
463,H,0,60,0.9186195142735408,0.4166666666666667,0.2857142857142857,0.6666666666666666,2650.0,2.9135054999999994,0
463,H,30,90,0.9101694915254236,0.6,1.0,1.0,3500.0,2.149994999999997,1
463,H,60,120,0.9148305084745764,0.8833333333333333,0.3333333333333333,1.0,5100.0,3.178052000000008,2
435,H,0,60,0.9330024813895782,0.55,0.8333333333333334,0.5,2760.0,2.881962999999999,0
435,H,30,90,0.970990468296726,0.3166666666666666,1.0,1.0,2314.285714285714,2.8888184999999993,1
435,H,60,120,0.8767752715121137,0.7,0.875,1.0,2542.8571428571427,2.911715000000001,2
433,L,0,60,0.8239763613338962,0.5333333333333333,1.0,1.0,4733.333333333333,3.419049000000001,0
433,L,30,90,0.8431041754533952,0.0333333333333333,1.0,0.0,1500.0,0.0,1
433,L,60,120,0.9839594765723936,0.3,0.8,0.0,3350.0,0.0,2
457,L,0,60,0.9805249788314988,1.0,1.0,1.0,8000.0,3.205650499999999,0
457,L,30,90,1.0,1.0,0.0,1.0,0.0,3.5511359999999996,1
457,L,60,120,0.9827368421052632,1.0,0.0,0.0,0.0,0.0,2
426,M,0,60,0.8833262621977089,0.7166666666666667,1.0,1.0,2500.0,3.111191999999999,0
426,M,30,90,0.9494097807757168,0.5,1.0,0.0,2840.0,0.0,1
426,M,60,120,0.9005897219882055,0.6166666666666667,0.8333333333333334,1.0,2680.0,2.9768760000000043,2
437,M,0,60,1.0,1.0,1.0,1.0,1866.6666666666667,3.269232333333335,0
437,M,30,90,0.9744341994970662,1.0,1.0,1.0,2950.0,3.227609000000001,1
437,M,60,120,0.968959731543624,1.0,1.0,0.0,3085.714285714286,0.0,2
411,H,0,60,0.8392561983471074,1.0,1.0,0.5,3533.3333333333335,2.9299249999999972,0
411,H,30,90,0.8974886784685056,1.0,0.8333333333333334,0.6666666666666666,3400.0,3.086258000000001,1
411,H,60,120,0.76,0.9833333333333332,0.75,0.5,3966.6666666666665,3.2425910000000044,2
469,M,0,60,0.9681159420289857,1.0,0.0,1.0,0.0,3.6788240000000023,0
469,M,30,90,0.995493650143384,1.0,0.3333333333333333,0.0,3300.0,0.0,1
469,M,60,120,0.9821650767316468,1.0,0.3333333333333333,1.0,3300.0,3.4427870000000027,2
452,L,0,60,1.0,1.0,1.0,1.0,2560.0,6.190057999999999,0
452,L,30,90,1.0,1.0,0.6,0.0,1500.0,0.0,1
452,L,60,120,1.0,0.9,0.5,1.0,1533.3333333333333,4.440990999999997,2
431,H,0,60,0.8552797644089188,0.6,0.7777777777777778,1.0,3775.0,4.041427500000001,0
431,H,30,90,0.7361344537815127,0.1166666666666666,1.0,0.6666666666666666,3333.3333333333335,3.959916500000002,1
431,H,60,120,0.4943348720100713,0.1,1.0,1.0,4266.666666666667,3.9058750000000018,2
440,H,0,60,0.814519513218632,1.0,0.5714285714285714,1.0,3000.0,4.364128999999998,0
440,H,30,90,0.8074821353509878,1.0,0.375,0.5,2900.0,3.071031000000005,1
440,H,60,120,0.7389659520807061,0.95,0.75,1.0,3914.285714285714,3.120638333333337,2
464,L,0,60,0.9854638734501924,1.0,0.0,0.0,0.0,0.0,0
464,L,30,90,0.9570395576350488,1.0,0.0,1.0,0.0,3.1687669999999883,1
464,L,60,120,0.971465076660988,1.0,0.0,1.0,0.0,2.8925819999999973,2
447,H,0,60,0.184341342170671,0.9833333333333332,0.5,1.0,4533.333333333333,2.2375299999999996,0
447,H,30,90,0.4502271788517141,0.9833333333333332,0.5714285714285714,0.5,4350.0,2.1009949999999975,1
447,H,60,120,0.5579649708090075,1.0,0.5,1.0,5500.0,2.9394246666666675,2
449,H,0,60,0.9392661324335724,0.3166666666666666,0.8,0.5,2800.0,3.418410999999999,0
449,H,30,90,0.960553923625682,0.0,0.6666666666666666,0.5,3200.0,3.429308499999994,1
449,H,60,120,0.9517212426532324,0.25,0.25,1.0,2920.0,3.0211240000000004,2
451,H,0,60,0.8956743002544529,0.65,0.7777777777777778,0.6666666666666666,2850.0,2.989126500000001,0
451,H,30,90,0.9220669207962728,0.55,0.6666666666666666,1.0,2560.0,3.455272000000001,1
451,H,60,120,0.9415749364944962,0.6,1.0,1.0,1700.0,4.071224999999998,2
432,L,0,60,0.9821502698215028,1.0,1.0,1.0,6200.0,3.127569999999998,0
432,L,30,90,0.909468438538206,1.0,0.8,0.5,4500.0,3.127569999999998,1
432,L,60,120,0.926747593135203,1.0,0.8,1.0,2100.0,3.9068650000000105,2
440,L,0,60,1.0,1.0,1.0,1.0,2866.6666666666665,2.925850999999998,0
440,L,30,90,1.0,1.0,1.0,0.0,2533.3333333333335,0.0,1
440,L,60,120,1.0,1.0,1.0,1.0,1920.0,3.024563000000001,2
423,H,0,60,0.6920833333333334,0.3333333333333333,0.6666666666666666,0.6666666666666666,3542.8571428571427,2.750228999999999,0
423,H,30,90,0.7815091210613598,0.3666666666666666,1.0,0.5,2950.0,2.622993000000001,1
423,H,60,120,0.751784964300714,0.85,0.8333333333333334,1.0,2840.0,2.0573929999999905,2
420,L,0,60,0.9730066445182723,1.0,0.3333333333333333,1.0,1900.0,2.955476000000001,0
420,L,30,90,0.9666805497709288,1.0,0.6666666666666666,1.0,2080.0,3.341966999999997,1
420,L,60,120,0.9936921783010934,1.0,0.5714285714285714,1.0,1960.0,3.341966999999997,2
421,L,0,60,1.0,1.0,1.0,1.0,2080.0,2.191261000000001,0
421,L,30,90,1.0,1.0,1.0,1.0,2600.0,3.5811680000000052,1
421,L,60,120,1.0,1.0,1.0,1.0,4000.0,3.5811680000000052,2
474,L,0,60,0.9819706498951782,1.0,0.0,0.5,5000.0,3.927689000000001,0
474,L,30,90,0.968267223382046,1.0,1.0,1.0,1600.0,3.927689000000001,1
474,L,60,120,0.968227424749164,0.85,1.0,0.0,1600.0,0.0,2
409,M,0,60,1.0,0.5333333333333333,0.6,0.0,1466.6666666666667,0.0,0
