participant,condition,track_point_accuracy,resman_point_accuracy,sysmon_point_accuracy,comms_point_accuracy,mean_sysmon_response_time,mean_comms_response_time,window_index
442,M,0.9364478114478114,1.0,1.0,0.0,1200.0,0.0,6
442,M,0.9865376525031552,1.0,1.0,0.0,1266.6666666666667,0.0,7
442,M,1.0,1.0,1.0,0.0,1450.0,0.0,8
442,M,1.0,1.0,1.0,0.0,1571.428571428571,0.0,9
442,M,1.0,0.8833333333333333,1.0,0.0,1942.857142857143,0.0,10
442,M,0.9957627118644068,0.8833333333333333,1.0,0.0,2960.0,0.0,11
442,M,0.9881606765327696,1.0,1.0,0.0,2960.0,0.0,12
442,M,0.992421052631579,1.0,1.0,0.0,2160.0,0.0,13
442,M,1.0,1.0,1.0,0.0,2440.0,0.0,14
425,H,0.9694048616932104,1.0,0.4285714285714285,1.0,2880.0,2.8105229999999963,0
425,H,0.9707724425887264,1.0,0.4285714285714285,1.0,2360.0,2.8105229999999963,1
425,H,0.9641666666666666,1.0,0.6666666666666666,1.0,2520.0,3.787502000000003,2
425,H,0.9850249584026622,0.95,1.0,1.0,3066.6666666666665,3.787502000000003,3
425,H,0.9705027004570004,0.95,1.0,0.0,1875.0,0.0,4
425,H,0.9635983263598328,1.0,1.0,0.5,1311.111111111111,3.4368980000000136,5
425,H,0.9677148846960169,0.85,0.8,0.5,2511.1111111111113,3.2597800000000063,6
425,H,0.935200668896321,0.6,0.6666666666666666,0.0,3060.0,3.3938369999999907,7
425,H,0.9523012552301257,0.3166666666666666,0.5555555555555556,0.0,2257.1428571428573,0.0,8
425,H,0.842391304347826,0.2833333333333333,0.7777777777777778,0.5,1050.0,3.945872000000009,9
425,H,0.8058455114822547,0.2166666666666666,1.0,0.3333333333333333,2454.5454545454545,3.5021264999999744,10
425,H,0.9351464435146444,0.0,1.0,0.5,3133.3333333333335,4.625013999999965,11
425,H,0.9256926952141058,0.0,1.0,0.0,2228.5714285714284,0.0,12
425,H,0.8043660789252729,0.0,1.0,0.0,1866.6666666666667,2.6038990000000126,13
425,H,0.7920335429769392,0.0,0.7777777777777778,0.75,3100.0,3.917668000000011,14
472,H,0.8752079866888519,1.0,0.7777777777777778,0.0,2750.0,0.0,0
472,H,0.8738512949039264,1.0,0.6666666666666666,1.0,2760.0,2.927578000000004,1
472,H,0.815345699831366,0.8166666666666667,1.0,0.75,1760.0,2.8254273333333324,2
472,H,0.8605240912933221,0.8,1.0,1.0,2133.3333333333335,2.660483499999991,3
472,H,0.943858168003377,0.9333333333333332,1.0,0.6666666666666666,1600.0,2.4853750000000048,4
472,H,0.8893097643097643,0.95,1.0,0.6,2366.6666666666665,2.4904209999999978,5
472,H,0.876522469550609,1.0,1.0,0.6666666666666666,2275.0,2.716968499999993,6
472,H,0.918805216659655,0.9333333333333332,0.8333333333333334,1.0,1909.090909090909,3.066149000000024,7
472,H,0.8689828380075345,0.9333333333333332,0.8181818181818182,0.0,2340.0,0.0,8
472,H,0.7774989544123797,1.0,1.0,0.0,2480.0,0.0,9
472,H,0.8184498736310025,0.6666666666666666,1.0,0.0,2340.0,0.0,10
472,H,0.8826251577618848,0.5666666666666667,1.0,1.0,2840.0,4.830697999999984,11
472,H,0.8095838587641866,0.8666666666666667,1.0,1.0,3320.0,3.170653333333348,12
472,H,0.813580767608604,0.9,1.0,0.8,2600.0,2.4569497500000352,13
472,H,0.7502106149957877,0.85,1.0,1.0,2600.0,2.8810753333333423,14
429,M,0.9131161236424394,1.0,0.5714285714285714,1.0,4000.0,3.542694000000001,0
429,M,1.0,1.0,1.0,1.0,4900.0,3.0383270000000024,1
429,M,0.9958141481791544,1.0,1.0,0.0,2966.6666666666665,0.0,2
429,M,0.9958123953098827,1.0,0.9,0.0,2533.3333333333335,0.0,3
429,M,1.0,1.0,0.8571428571428571,0.0,2166.6666666666665,0.0,4
429,M,1.0,1.0,1.0,0.0,1400.0,0.0,5
429,M,1.0,1.0,1.0,0.5,1400.0,3.39141699999999,6
429,M,1.0,1.0,0.0,1.0,0.0,3.154320499999997,7
429,M,1.0,1.0,0.0,1.0,0.0,3.323759999999993,8
429,M,1.0,1.0,0.0,0.6666666666666666,0.0,3.300485000000009,9
429,M,0.9794721407624634,1.0,1.0,0.6666666666666666,1600.0,3.270309000000026,10
429,M,0.9693406131877362,0.9333333333333332,0.8333333333333334,1.0,2840.0,3.0840919999999983,11
429,M,0.9898691430983536,0.9333333333333332,0.9,0.5,2222.222222222222,3.7931370000000015,12
429,M,0.9676877885018884,1.0,1.0,1.0,2060.0,3.1734610000000125,13
429,M,0.9677013422818792,1.0,1.0,1.0,3320.0,2.591062500000021,14
450,H,0.8239202657807309,0.9,0.7,1.0,3950.0,4.945086,0
